country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iceland,29373,29182,27957,27987,28551,28511,29864,30490,32247,33156,33726,34752,35906,36075,37491,38782,38860,42014,35114,33274,32619,34552,35944,40400,40701,42182,44809,46817,47566
India,1882,1859,1922,1977,2070,2188,2313,2364,2465,2637,2683,2769,2832,3002,3189,3387,3602,3833,3887,4134,4403,4584,4760,5001,5315,5674,6075,6446,6829
Indonesia,4399,4628,4847,5130,5493,5838,6217,6399,5328,5185,5422,5717,5938,6084,6256,6506,6816,7164,7539,7788,8234,8614,9011,9370,9679,10029,10419,10811,11256
"Iran, Islamic Rep.",11391,12497,12606,12565,12080,12362,12585,12585,12781,12584,13228,13178,13989,15013,15435,15737,16373,17554,17416,17337,18142,18402,16938,16696,17177,16720,18710,19127,18166
Iraq,11382,3983,5156,6595,6645,6578,7080,8215,10737,12192,12135,12040,10774,7138,10727,11092,11972,11972,13200,13042,13305,13679,15106,15401,15024,14853,16387,15650,15365
Ireland,19935,20286,20557,21098,22327,23944,25744,27828,29704,31589,34066,34511,35262,36806,38755,40180,41630,42012,39387,35691,36300,36449,36116,38059,41208,45809,50911,52799,55660
Israel,20001,20469,21259,21553,22535,23489,23984,24212,24526,24420,25092,25073,24713,24510,25287,26375,27494,28643,28431,27942,29110,30157,29852,30679,31728,31814,32428,32860,33650
Italy,30729,31124,31315,31104,31717,32742,33237,34007,34513,35174,36394,37046,37030,36907,37370,37661,38392,38642,37608,35688,36128,36251,35178,34161,33946,34105,34818,35573,36141
Jamaica,6597,6804,7013,8003,7797,7963,8099,7882,7638,7630,7621,7593,7562,7826,7902,7904,8165,8243,8241,7730,7714,7821,7886,7802,7806,7751,7721,7870,7932
Japan,30836,31774,32015,31781,31974,32731,33768,34084,33586,33437,34386,34477,34399,34906,35770,36461,37114,37821,37233,35175,36685,36788,37341,38387,38669,39297,39407,40343,40799
Jordan,5880,5514,6319,6332,6354,6563,6489,6651,6804,6900,7312,7607,7804,7997,8514,8910,9303,9726,9827,9830,9306,9041,8759,8574,8432,8308,8253,8253,8268
Kazakhstan,13703,12202,11595,10600,9374,8740,8897,9164,9152,9308,9910,11427,12669,13643,14676,15417,16254,17233,16858,17686,17928,18215,19169,21010,21706,23175,22062,22025,22168
Kenya,2265,2213,2130,2027,2037,2098,2157,2117,2135,2116,2077,2096,2055,2055,2107,2188,2261,2346,2295,2306,2427,2516,2550,2614,2676,2768,2875,2936,3052
Kiribati,2358,3058,3075,2930,2922,3041,2620,3114,3448,3085,3234,3333,3151,2977,2880,2814,2686,2726,2661,2489,2565,2434,2730,3092,3453,4050,3985,3971,3917
"Korea, Rep.",11614,12687,13326,14091,15213,16482,17573,18400,17121,18974,20601,21377,22902,23457,24556,25315,26600,27932,28590,28579,30387,31412,32099,32781,33534,34276,35122,35945,36757
Kuwait,52301,34139,56057,73710,82558,95142,93274,94232,92690,81480,81957,77739,75124,85776,94816,101314,106011,106529,99649,88457,80290,82672,84858,81594,79290,75582,76145,73742,71164
Kyrgyz Republic,3420,3096,2639,2224,1758,1634,1728,1846,1843,1859,1932,2056,2043,2169,2265,2258,2343,2527,2649,2700,2601,2610,2761,2923,3021,3082,3108,3199,3317
Lao PDR,1732,1756,1804,1861,1961,2047,2142,2198,2232,2386,2419,2515,2627,2698,2860,3060,3158,3418,3579,3856,3970,4181,4506,4826,5166,5460,5748,5985,6317
Latvia,14077,12672,8229,7094,7241,8345,8630,9506,10214,10402,11162,12087,13080,14230,15345,17347,19305,21284,21111,19929,18481,19768,20687,21518,22094,22890,23648,24853,26301
Lebanon,6794,8126,9163,9474,9887,10228,10997,10881,11050,10872,10817,10568,9972,8532,10099,10413,10623,11852,12767,13630,14212,13759,13291,12771,12197,11755,11547,11635,11136
Lesotho,2053,2051,2040,1979,2021,1989,2065,2082,2019,2046,2055,2413,2440,2533,2487,2447,2456,2868,3008,2936,3044,3046,3119,3122,3121,3217,3347,3228,3244
Liberia,923,806,533,361,281,261,277,531,642,619,1209,1162,1157,781,869,889,926,988,1016,1004,1020,1094,1108,1174,1152,1137,1091,1085,1040
Libya,20344,22970,21835,20561,20524,19677,19747,20462,19476,19271,19377,19208,18774,21036,21029,22871,24589,25347,28539,28040,28751,11114,24327,11856,9285,9048,8799,10997,11685
Liechtenstein,63874,64199,65629,67508,71074,74144,78080,82454,87531,93739,96864,87255,83956,79121,78206,84033,93239,103380,100278,85104,89070,79352,70267,92611,95536,96869,97351,98006,99732
Lithuania,15932,15044,11890,10000,9068,9340,9809,10609,11444,11378,11969,12913,13939,15310,16587,18273,19834,21881,22756,20672,20672,22015,23326,24492,25912,25924,26860,28375,29775
Luxembourg,60153,65016,64709,65820,65181,67316,67406,72978,73360,76148,79992,83182,77611,71406,82808,84855,77291,91519,86052,62099,66588,63525,62078,60205,60323,62935,62818,65101,65543
Madagascar,1590,1416,1416,1409,1354,1334,1334,1358,1375,1406,1418,1464,1236,1319,1342,1368,1397,1452,1515,1407,1371,1346,1326,1320,1332,1323,1339,1374,1404
Malawi,730,779,715,784,689,799,856,869,871,873,866,804,803,828,852,859,876,938,982,1028,1061,1082,1062,1078,1112,1110,1130,1149,1159
Malaysia,10175,10775,11402,12273,13073,13997,15003,15591,14053,14330,15071,14973,15559,16296,17078,17757,18661,19606,19950,19515,20374,21290,21836,22641,23686,24703,25394,26555,27227
Maldives,6261,6327,6556,6663,7112,7388,7826,8285,8771,9135,9332,8931,9350,10249,10633,9006,11092,10184,11215,10287,10526,11162,11105,11185,11654,11658,11978,12234,12549
Mali,1271,1397,1317,1328,1327,1295,1350,1377,1445,1495,1457,1571,1551,1687,1661,1715,1726,1747,1778,1798,1804,1811,1734,1744,1813,1868,1904,1964,1965
Malta,17386,17760,18161,18609,19122,20040,20490,21394,21911,23432,24095,24782,25235,25447,25466,25498,25754,26809,27708,25659,26854,27670,27927,28688,30663,32640,32619,33461,34795
Marshall Islands,3737,3650,3839,4015,4206,4592,3947,3773,3800,3806,4015,4170,4106,3989,3938,3982,3951,4035,3926,3858,3923,3978,3956,4148,4314,4605,4506,4587,4633
Mauritania,2675,2699,2688,2752,2596,2779,3047,2840,2866,3015,2896,2780,2901,2978,3058,3221,3511,3536,3522,3461,3398,3379,3449,3566,3629,3622,3636,3682,3746
Mauritius,7503,7830,8243,8540,8703,9016,9374,9840,10306,10468,11219,11576,11680,12189,12674,12835,13506,14491,15056,15351,15783,16247,17590,18760,19421,20188,20893,21966,22724
Mexico,13156,13535,13775,13836,14260,12963,13671,14502,15021,15264,15790,15554,15356,15362,15781,15814,16386,16488,16476,15334,15970,16258,16568,16411,16757,17074,17344,17533,17628
"Micronesia, Fed. Sts.",3330,3390,3336,3349,3276,3299,3163,3133,3019,3056,3204,3251,3267,3321,3267,3366,3387,3372,3284,3443,3439,3519,3468,3395,3272,3728,3635,3700,3700
Moldova,6743,5552,3902,3871,2686,3104,3062,3104,2892,2799,2852,3172,3431,3845,4175,4457,4673,4727,5117,4648,5073,5357,5454,5956,6212,6032,6292,6603,6833
Mongolia,5048,4608,4058,3837,3946,4176,4269,4401,4558,4656,4646,4753,4922,5192,5689,5938,6417,6905,7351,7057,7086,8124,8981,10079,10384,10435,10324,9892,10784
Montenegro,..,..,..,..,..,..,..,..,..,..,10917,10987,11214,11472,11884,11885,12959,13767,14786,13706,13921,14589,14310,14847,15001,15647,15883,16855,17511
Morocco,3809,4000,3860,3744,4095,3797,4240,4114,4383,4378,4402,4673,4777,5012,5211,5349,5680,5824,6104,6210,6366,6591,6671,6923,6939,7183,7169,7342,7480
Mozambique,373,381,340,357,364,365,456,495,538,571,554,604,590,666,687,723,749,792,829,886,913,970,1021,1065,1103,1133,1138,1139,1154
Myanmar,730,715,775,812,863,912,960,1001,1046,1146,1289,1418,1574,1775,1999,2252,2529,2814,3083,3387,3688,3864,3951,4284,4547,4863,5155,5443,5764
Namibia,5821,6213,6324,6105,6051,6289,6235,6352,6474,6402,6720,6641,6965,7379,7868,7732,8205,8246,8324,8176,8348,8718,8863,9534,10011,10402,10171,9779,9683
Nauru,..,..,..,..,..,..,..,..,..,..,7832,7071,6427,6842,5656,6051,3631,5640,5824,6901,7694,8162,9474,12321,14991,15203,16239,17345,17313
Nepal,1192,1235,1252,1263,1332,1342,1381,1419,1432,1467,1532,1579,1549,1587,1637,1682,1725,1767,1854,1926,2002,2064,2172,2267,2426,2496,2486,2639,2748
Netherlands,32233,32868,33079,33452,34416,35534,36660,37796,38813,41174,42776,42472,42380,42816,43297,43221,45632,46861,46360,45277,46241,47251,46735,46374,46129,46976,47008,48994,50013
New Zealand,23099,21231,21294,22228,23146,24019,24213,24725,25064,25928,26615,27527,28332,29105,29558,29945,30358,30778,30197,30816,30643,31252,31911,32521,33193,33983,34538,34668,35108
Nicaragua,2860,2221,2027,2058,2421,2618,2786,2898,3024,3186,3272,3300,3299,3346,3494,3631,3703,3859,3937,3733,3855,4047,4245,4397,4561,4709,4859,5025,4790
Niger,872,871,791,775,775,762,771,764,818,786,748,774,765,778,755,761,778,772,812,774,806,793,843,849,884,884,892,901,912
Nigeria,3221,3157,3191,2995,2912,2872,2924,2946,2936,2932,2828,3011,3381,3499,3699,3819,4166,4207,4375,4573,4793,4924,5017,5220,5494,5540,5336,5203,5086
North Macedonia,9526,8999,8265,7705,7630,7570,7616,7666,7874,8126,8458,8257,8322,8482,8915,9216,9808,9985,10907,10911,11192,11404,11296,11589,12057,12338,12552,12570,12874
Norway,41798,42764,44456,45390,47653,49556,51806,54283,55359,56202,57315,58984,59620,59979,61761,63509,63879,64859,64254,63017,62994,62729,63523,63573,65438,66584,66746,67529,68059
